"city","lat","lng","admin_name","capital"
"Karachi",24.86,67.01,"Sindh","admin"
"Lahore",31.5497,74.3436,"Punjab","admin"
"Faisalabad",31.418,73.079,"Punjab","minor"
"Rawalpindi",33.6007,73.0679,"Punjab","minor"
"Gujranwala",32.15,74.1833,"Punjab","minor"
"Peshawar",34,71.5,"Khyber Pakhtunkhwa","admin"
"Multan",30.1978,71.4711,"Punjab","minor"
"Saidu Sharif",34.75,72.3572,"Khyber Pakhtunkhwa","minor"
"Hyderabad City",25.3792,68.3683,"Sindh","minor"
"Islamabad",33.6989,73.0369,"Islamabad","primary"
"Quetta",30.192,67.007,"Balochistan","admin"
"Bahawalpur",29.3956,71.6722,"Punjab","minor"
"Sargodha",32.0836,72.6711,"Punjab","minor"
"Sialkot City",32.5,74.5333,"Punjab","minor"
"Sukkur",27.6995,68.8673,"Sindh","minor"
"Larkana",27.56,68.2264,"Sindh","minor"
"Chiniot",31.7167,72.9833,"Punjab","minor"
"Shekhupura",31.7083,74,"Punjab","minor"
"Jhang City",31.2681,72.3181,"Punjab","minor"
"Dera Ghazi Khan",30.05,70.6333,"Punjab","minor"
"Gujrat",32.5736,74.0789,"Punjab","minor"
"Rahimyar Khan",28.4202,70.2952,"Punjab",
"Kasur",31.1167,74.45,"Punjab","minor"
"Mardan",34.1958,72.0447,"Khyber Pakhtunkhwa","minor"
"Mingaora",34.7717,72.36,"Khyber Pakhtunkhwa",
"Nawabshah",26.2442,68.41,"Sindh","minor"
"Sahiwal",30.6706,73.1064,"Punjab","minor"
"Mirpur Khas",25.5269,69.0111,"Sindh","minor"
"Okara",30.81,73.4597,"Punjab","minor"
"Mandi Burewala",30.15,72.6833,"Punjab",
"Jacobabad",28.2769,68.4514,"Sindh","minor"
"Saddiqabad",28.3006,70.1302,"Punjab",
"Kohat",33.5869,71.4414,"Khyber Pakhtunkhwa","minor"
"Muridke",31.802,74.255,"Punjab",
"Muzaffargarh",30.0703,71.1933,"Punjab","minor"
"Khanpur",28.6471,70.662,"Punjab",
"Gojra",31.15,72.6833,"Punjab",
"Mandi Bahauddin",32.5861,73.4917,"Punjab","minor"
"Abbottabad",34.15,73.2167,"Khyber Pakhtunkhwa","minor"
"Turbat",26.0031,63.0544,"Balochistan","minor"
"Dadu",26.7319,67.775,"Sindh","minor"
"Bahawalnagar",29.9944,73.2536,"Punjab","minor"
"Khuzdar",27.8,66.6167,"Balochistan",
"Pakpattan",30.35,73.4,"Punjab","minor"
"Tando Allahyar",25.4667,68.7167,"Sindh","minor"
"Ahmadpur East",29.1453,71.2617,"Punjab",
"Vihari",30.0419,72.3528,"Punjab","minor"
"Jaranwala",31.3342,73.4194,"Punjab",
"New Mirpur",33.1333,73.75,"Azad Kashmir","minor"
"Kamalia",30.7258,72.6447,"Punjab",
"Kot Addu",30.47,70.9644,"Punjab",
"Nowshera",34.0153,71.9747,"Khyber Pakhtunkhwa","minor"
"Swabi",34.1167,72.4667,"Khyber Pakhtunkhwa","minor"
"Khushab",32.2917,72.35,"Punjab","minor"
"Dera Ismail Khan",31.8167,70.9167,"Khyber Pakhtunkhwa","minor"
"Chaman",30.921,66.4597,"Balochistan",
"Charsadda",34.1453,71.7308,"Khyber Pakhtunkhwa","minor"
"Kandhkot",28.4,69.3,"Sindh",
"Chishtian",29.7958,72.8578,"Punjab",
"Hasilpur",29.6967,72.5542,"Punjab",
"Attock Khurd",33.7667,72.3667,"Punjab",
"Muzaffarabad",34.37,73.4711,"Azad Kashmir",
"Mianwali",32.5853,71.5436,"Punjab","minor"
"Jalalpur Jattan",32.7667,74.2167,"Punjab",
"Bhakkar",31.6333,71.0667,"Punjab","minor"
"Zhob",31.3417,69.4486,"Balochistan","minor"
"Dipalpur",30.6708,73.6533,"Punjab",
"Kharian",32.811,73.865,"Punjab",
"Mian Channun",30.4397,72.3544,"Punjab",
"Bhalwal",32.2653,72.9028,"Punjab",
"Jamshoro",25.4283,68.2822,"Sindh","minor"
"Pattoki",31.0214,73.8528,"Punjab",
"Harunabad",29.61,73.1361,"Punjab",
"Kahror Pakka",29.6236,71.9167,"Punjab",
"Toba Tek Singh",30.9667,72.4833,"Punjab","minor"
"Samundri",31.0639,72.9611,"Punjab",
"Shakargarh",32.2628,75.1583,"Punjab",
"Sambrial",32.475,74.3522,"Punjab",
"Shujaabad",29.8803,71.295,"Punjab",
"Hujra Shah Muqim",30.7408,73.8219,"Punjab",
"Kabirwala",30.4068,71.8667,"Punjab",
"Mansehra",34.3333,73.2,"Khyber Pakhtunkhwa","minor"
"Lala Musa",32.7006,73.9558,"Punjab",
"Chunian",30.9639,73.9803,"Punjab",
"Nankana Sahib",31.4492,73.7124,"Punjab",
"Bannu",32.9889,70.6056,"Khyber Pakhtunkhwa","minor"
"Pasrur",32.2681,74.6675,"Punjab",
"Timargara",34.8281,71.8408,"Khyber Pakhtunkhwa","minor"
"Parachinar",33.8992,70.1008,"Khyber Pakhtunkhwa",
"Chenab Nagar",31.75,72.9167,"Punjab",
"Gwadar",25.1264,62.3225,"Balochistan","minor"
"Abdul Hakim",30.5522,72.1278,"Punjab",
"Hassan Abdal",33.8195,72.689,"Punjab",
"Tank",32.2167,70.3833,"Khyber Pakhtunkhwa","minor"
"Hangu",33.5281,71.0572,"Khyber Pakhtunkhwa","minor"
"Risalpur Cantonment",34.0049,71.9989,"Khyber Pakhtunkhwa",
"Karak",33.1167,71.0833,"Khyber Pakhtunkhwa","minor"
"Kundian",32.4522,71.4718,"Punjab",
"Umarkot",25.3614,69.7361,"Sindh","minor"
"Chitral",35.8511,71.7889,"Khyber Pakhtunkhwa","minor"
"Dainyor",35.9206,74.3783,"Gilgit-Baltistan",
"Kulachi",31.9286,70.4592,"Khyber Pakhtunkhwa",
"Kalat",29.0258,66.59,"Balochistan","minor"
"Kotli",33.5156,73.9019,"Azad Kashmir","minor"
"Gilgit",35.9208,74.3144,"Gilgit-Baltistan","minor"
"Narowal",32.102,74.873,"Punjab","minor"
"Khairpur Mir's",27.5295,68.7592,"Sindh","minor"
"Khanewal",30.3017,71.9321,"Punjab","minor"
"Jhelum",32.9333,73.7333,"Punjab","minor"
"Haripur",33.9942,72.9333,"Khyber Pakhtunkhwa","minor"
"Shikarpur",27.9556,68.6382,"Sindh","minor"
"Rawala Kot",33.8578,73.7604,"Azad Kashmir","minor"
"Hafizabad",32.0709,73.688,"Punjab","minor"
"Lodhran",29.5383,71.6333,"Punjab","minor"
"Malakand",34.5656,71.9304,"Khyber Pakhtunkhwa","minor"
"Attock City",33.7667,72.3598,"Punjab","minor"
"Batgram",34.6796,73.0263,"Khyber Pakhtunkhwa","minor"
"Matiari",25.5971,68.4467,"Sindh","minor"
"Ghotki",28.0064,69.315,"Sindh","minor"
"Naushahro Firoz",26.8401,68.1227,"Sindh","minor"
"Alpurai",34.9,72.6556,"Khyber Pakhtunkhwa","minor"
"Bagh",33.9803,73.7747,"Azad Kashmir","minor"
"Daggar",34.5111,72.4844,"Khyber Pakhtunkhwa","minor"
"Leiah",30.9646,70.9444,"Punjab","minor"
"Tando Muhammad Khan",25.1239,68.5389,"Sindh","minor"
"Chakwal",32.93,72.85,"Punjab","minor"
"Badin",24.6558,68.8383,"Sindh","minor"
"Lakki",32.6072,70.9123,"Khyber Pakhtunkhwa","minor"
"Rajanpur",29.1041,70.3297,"Punjab","minor"
"Dera Allahyar",28.4167,68.1667,"Balochistan","minor"
"Shahdad Kot",27.8473,67.9068,"Sindh","minor"
"Pishin",30.5833,67,"Balochistan","minor"
"Sanghar",26.0464,68.9481,"Sindh","minor"
"Upper Dir",35.2074,71.8768,"Khyber Pakhtunkhwa","minor"
"Thatta",24.7461,67.9243,"Sindh","minor"
"Dera Murad Jamali",28.5466,68.2231,"Balochistan","minor"
"Kohlu",29.8965,69.2532,"Balochistan","minor"
"Mastung",29.7997,66.8455,"Balochistan","minor"
"Dasu",35.2917,73.2906,"Khyber Pakhtunkhwa","minor"
"Athmuqam",34.5717,73.8972,"Azad Kashmir","minor"
"Loralai",30.3705,68.5979,"Balochistan","minor"
"Barkhan",29.8977,69.5256,"Balochistan","minor"
"Musa Khel Bazar",30.8594,69.8221,"Balochistan","minor"
"Ziarat",30.3814,67.7258,"Balochistan","minor"
"Gandava",28.6132,67.4856,"Balochistan","minor"
"Sibi",29.543,67.8773,"Balochistan","minor"
"Dera Bugti",29.0362,69.1585,"Balochistan","minor"
"Eidgah",35.3471,74.8563,"Gilgit-Baltistan","minor"
"Uthal",25.8072,66.6228,"Balochistan","minor"
"Khuzdar",27.7384,66.6434,"Balochistan","minor"
"Chilas",35.4206,74.0967,"Gilgit-Baltistan","minor"
"Panjgur",26.9644,64.0903,"Balochistan","minor"
"Gakuch",36.1736,73.7667,"Gilgit-Baltistan","minor"
"Qila Saifullah",30.7008,68.3598,"Balochistan","minor"
"Kharan",28.5833,65.4167,"Balochistan","minor"
"Aliabad",36.3078,74.6178,"Gilgit-Baltistan","minor"
"Awaran",26.4568,65.2314,"Balochistan","minor"
"Dalbandin",28.8885,64.4062,"Balochistan","minor"
